"Date ","series ","OPEN ","HIGH ","LOW ","PREV. CLOSE ","ltp ","close ","vwap ","52W H ","52W L ","VOLUME ","VALUE ","No of trades "
"07-Mar-2024","EQ","1,275.00","1,293.10","1,265.55","1,271.00","1,283.20","1,288.15","1,281.70","1,416.30","981.05","20,73,691","2,65,78,50,269.40","94,123"
"06-Mar-2024","EQ","1,267.50","1,274.35","1,250.10","1,272.50","1,271.00","1,271.00","1,261.48","1,416.30","981.05","20,64,350","2,60,41,34,310.50","94,379"
"05-Mar-2024","EQ","1,274.90","1,279.90","1,259.10","1,280.05","1,270.60","1,272.50","1,271.83","1,416.30","981.05","14,20,379","1,80,64,78,256.30","91,152"
"04-Mar-2024","EQ","1,275.60","1,285.50","1,270.10","1,272.50","1,280.80","1,280.05","1,277.72","1,416.30","981.05","18,43,831","2,35,59,07,739.75","79,537"
"02-Mar-2024","EQ","1,278.00","1,282.00","1,271.00","1,271.80","1,271.90","1,272.50","1,274.88","1,416.30","981.05","2,17,683","27,75,19,800.50","6,538"
"01-Mar-2024","EQ","1,287.00","1,287.00","1,268.00","1,273.85","1,273.00","1,271.80","1,275.29","1,416.30","981.05","15,60,034","1,98,94,90,077.70","1,00,599"
"29-Feb-2024","EQ","1,280.00","1,285.20","1,264.25","1,285.85","1,278.90","1,273.85","1,275.31","1,416.30","981.05","22,51,498","2,87,13,47,959.85","1,19,463"
"28-Feb-2024","EQ","1,302.00","1,306.05","1,271.00","1,296.05","1,275.00","1,285.85","1,296.66","1,416.30","981.05","12,89,779","1,67,24,05,215.20","90,157"
"27-Feb-2024","EQ","1,295.00","1,305.05","1,283.70","1,298.25","1,293.25","1,296.05","1,295.42","1,416.30","981.05","14,88,661","1,92,84,42,169.55","81,153"
"26-Feb-2024","EQ","1,322.25","1,324.90","1,295.00","1,322.25","1,295.80","1,298.25","1,301.92","1,416.30","981.05","11,96,507","1,55,77,57,862.35","77,328"
"23-Feb-2024","EQ","1,338.90","1,342.55","1,316.30","1,328.10","1,319.90","1,322.25","1,329.57","1,416.30","981.05","16,60,506","2,20,77,53,978.00","74,224"
"22-Feb-2024","EQ","1,307.00","1,330.50","1,299.35","1,296.60","1,325.00","1,328.10","1,315.33","1,416.30","981.05","22,01,424","2,89,56,05,544.50","1,20,069"
"21-Feb-2024","EQ","1,320.00","1,325.00","1,292.20","1,320.55","1,298.55","1,296.60","1,309.26","1,416.30","981.05","17,69,508","2,31,67,39,662.50","67,783"
"20-Feb-2024","EQ","1,310.00","1,323.65","1,302.00","1,310.00","1,323.00","1,320.55","1,312.39","1,416.30","981.05","21,13,200","2,77,33,41,468.00","89,941"
"19-Feb-2024","EQ","1,302.95","1,318.00","1,287.45","1,302.55","1,308.30","1,310.00","1,305.79","1,416.30","981.05","14,96,111","1,95,36,06,928.00","71,193"
"16-Feb-2024","EQ","1,305.10","1,309.20","1,298.00","1,300.35","1,300.40","1,302.55","1,302.43","1,416.30","981.05","19,94,659","2,59,79,12,989.90","81,092"
"15-Feb-2024","EQ","1,304.70","1,308.00","1,291.55","1,292.90","1,299.35","1,300.35","1,300.62","1,416.30","981.05","17,03,763","2,21,59,54,346.60","87,600"
"14-Feb-2024","EQ","1,310.00","1,319.95","1,282.65","1,328.45","1,291.10","1,292.90","1,294.69","1,416.30","981.05","34,26,103","4,43,57,34,287.30","1,32,735"
"13-Feb-2024","EQ","1,321.95","1,334.80","1,300.00","1,318.80","1,334.80","1,328.45","1,316.49","1,416.30","981.05","11,27,361","1,48,41,62,645.60","1,03,251"
"12-Feb-2024","EQ","1,318.40","1,331.00","1,311.10","1,311.05","1,317.10","1,318.80","1,321.42","1,416.30","981.05","11,49,683","1,51,92,11,486.75","67,000"
"09-Feb-2024","EQ","1,317.00","1,321.45","1,305.95","1,309.25","1,310.00","1,311.05","1,311.77","1,416.30","981.05","10,85,349","1,42,37,27,984.10","78,853"
"08-Feb-2024","EQ","1,326.00","1,329.65","1,302.00","1,318.00","1,310.00","1,309.25","1,310.98","1,416.30","981.05","23,08,756","3,02,67,42,084.95","1,41,215"
"07-Feb-2024","EQ","1,351.50","1,358.70","1,314.05","1,351.05","1,315.00","1,318.00","1,328.44","1,416.30","981.05","20,04,588","2,66,29,77,766.05","74,156"
"06-Feb-2024","EQ","1,330.00","1,362.40","1,328.10","1,332.75","1,355.10","1,351.05","1,349.05","1,416.30","981.05","27,13,529","3,66,06,93,775.10","1,08,028"
"05-Feb-2024","EQ","1,345.80","1,353.10","1,328.00","1,338.10","1,332.60","1,332.75","1,341.44","1,416.30","981.05","9,53,919","1,27,96,24,094.65","60,068"
"02-Feb-2024","EQ","1,323.50","1,354.00","1,323.05","1,312.50","1,340.20","1,338.10","1,338.99","1,416.30","981.05","18,38,847","2,46,22,00,628.90","1,02,017"
"01-Feb-2024","EQ","1,330.00","1,336.35","1,309.75","1,333.65","1,313.30","1,312.50","1,320.65","1,416.30","981.05","22,86,420","3,01,95,52,779.95","94,124"
"31-Jan-2024","EQ","1,318.10","1,336.00","1,312.30","1,317.85","1,330.00","1,333.65","1,326.09","1,416.30","981.05","17,98,462","2,38,49,19,879.70","1,00,001"
"30-Jan-2024","EQ","1,323.95","1,340.95","1,315.00","1,314.35","1,319.45","1,317.85","1,327.28","1,416.30","981.05","22,93,154","3,04,36,47,325.20","77,946"
"29-Jan-2024","EQ","1,338.00","1,338.00","1,311.00","1,322.05","1,316.40","1,314.35","1,320.23","1,416.30","981.05","24,95,791","3,29,50,07,768.95","1,03,180"
"25-Jan-2024","EQ","1,348.00","1,356.35","1,312.05","1,407.95","1,325.00","1,322.05","1,330.70","1,416.30","981.05","84,24,862","11,21,09,67,101.65","2,93,897"
"24-Jan-2024","EQ","1,372.95","1,410.50","1,365.55","1,366.65","1,405.00","1,407.95","1,389.95","1,416.30","981.05","20,08,135","2,79,12,10,337.40","1,03,827"
"23-Jan-2024","EQ","1,396.50","1,416.30","1,356.75","1,385.60","1,365.20","1,366.65","1,388.46","1,416.30","981.05","26,83,661","3,72,61,47,936.40","1,32,755"
"20-Jan-2024","EQ","1,405.00","1,406.20","1,376.00","1,389.90","1,385.00","1,385.60","1,391.79","1,406.20","981.05","10,01,018","1,39,32,05,096.15","38,662"
"19-Jan-2024","EQ","1,373.90","1,397.85","1,355.00","1,355.15","1,390.65","1,389.90","1,384.55","1,401.50","981.05","44,63,826","6,18,03,92,960.70","1,94,608"
"18-Jan-2024","EQ","1,326.70","1,369.50","1,306.00","1,326.75","1,358.00","1,355.15","1,342.32","1,401.50","981.05","45,33,782","6,08,58,07,482.00","1,67,235"
"17-Jan-2024","EQ","1,306.00","1,334.50","1,305.25","1,320.40","1,333.00","1,326.75","1,323.31","1,401.50","981.05","23,13,059","3,06,08,86,904.10","1,33,308"
"16-Jan-2024","EQ","1,330.10","1,332.20","1,310.50","1,337.65","1,321.05","1,320.40","1,319.87","1,401.50","981.05","18,83,106","2,48,54,56,665.25","95,335"
"15-Jan-2024","EQ","1,335.00","1,401.50","1,333.85","1,308.05","1,334.00","1,337.65","1,357.16","1,401.50","981.05","60,12,767","8,16,02,67,553.55","2,43,064"
"12-Jan-2024","EQ","1,271.80","1,311.75","1,267.00","1,249.40","1,308.00","1,308.05","1,299.39","1,333.05","981.05","50,23,455","6,52,74,10,321.35","2,03,278"
